src_pt,src_cat,src_sc,count,status,ent_pt_2,ent_cat_2,ent_sc_2,notes
Furniture,Living Room Furniture,Sofas + Sectionals,1653,,Home,Furniture,Chairs and Sofas,
Furniture,Living Room Furniture,Storage Accessories,14,,Home,Furniture,-,
Furniture,Living Room Furniture,Tabletop + Bar Accessories,8,,Home,Decor,Tabletop,
Furniture,Living Room Furniture,Workspace + Gaming Accessories,1,,Home,Decor,-,
Furniture,Office Furniture,Armchairs,3,,Home,Furniture,Chairs and Sofas,
Furniture,Office Furniture,Bar Carts + Trolleys,7,,Home,Furniture,Storage,
Furniture,Office Furniture,Bedside Lamps,0,,Home,Decor,Lighting,
Furniture,Office Furniture,Book Storage + Organization,2,,Home,Organization,-,
Furniture,Office Furniture,"Boxes, Baskets + Crates",0,,Office Supplies,Desk Organization,-,
Furniture,Office Furniture,Credenzas + Sideboards,21,,Home,Furniture,-,
Furniture,Office Furniture,Desk + Task Lamps,0,,Home,Decor,Lighting,
Furniture,Office Furniture,Desks,142,,Home,Furniture,Tables and Desks,
Furniture,Office Furniture,Dining Armchairs,153,,Home,Furniture,Chairs and Sofas,
Furniture,Office Furniture,Entryway Storage + Organization,0,,Home,Organization,-,
Furniture,Office Furniture,Ergonomic Chairs,9,,Home,Furniture,Chairs and Sofas,
Furniture,Office Furniture,File Storage,8,,Home,Furniture,Storage,
Furniture,Office Furniture,Freestanding Shelving + Storage,21,,Office Supplies,Desk Organization,-,
Furniture,Office Furniture,Gaming Accessories,0,,Office Supplies,Desk Organization,-,
Furniture,Office Furniture,Media Storage,1,,Home,Furniture,Storage,
Furniture,Office Furniture,Miscellaneous Accessories,0,,Office Supplies,Misc Office Supplies,-,
Furniture,Office Furniture,Office + File Storage,21,,Home,Furniture,Storage,
Furniture,Office Furniture,Office Accessories,0,,Office Supplies,Desk Organization,-,
Furniture,Office Furniture,Office Chairs,661,,Home,Furniture,Chairs and Sofas,
Furniture,Office Furniture,Office Stools,4,,Home,Furniture,Chairs and Sofas,
Furniture,Office Furniture,Side Chairs,0,,Home,Furniture,Chairs and Sofas,
Furniture,Office Furniture,Side Tables,12,,Home,Furniture,Side Tables,
Furniture,Office Furniture,Sit-to-Stand Desks,24,,Home,Furniture,Tables and Desks,
Furniture,Office Furniture,Stacking Chairs,2,,Home,Furniture,Chairs and Sofas,
Furniture,Office Furniture,Table Lamps,0,,Home,Decor,Lighting,
Furniture,Office Furniture,Trays + Catchalls,0,,Home,Decor,-,
Furniture,Bedroom Furniture,Coat Racks + Umbrella Stands,5,,Home,Organization,-,
Furniture,Bedroom Furniture,Bedside Tables + Nightstands,53,,Home,Furniture,Side Tables,
Furniture,Bedroom Furniture,Side + End Tables,21,,Home,Furniture,Side Tables,
Furniture,Bedroom Furniture,"Chests, Dressers + Vanities",5,,Home,Furniture,-,
Furniture,Bedroom Furniture,Benches + Stools,27,,Home,Furniture,-,
Furniture,Bedroom Furniture,Decor,27,,Home,Decor,-,
Furniture,Bedroom Furniture,Beds + Headboards,66,,Home,Furniture,Beds,
Furniture,Bedroom Furniture,"Mattresses, Pillows + Bedding",6,,Home,Bedding and Linen,Pillows,
Furniture,Bedroom Furniture,Storage Accessories,4,,Home,Furniture,Storage,
Furniture,Bedroom Furniture,Coffee Tables,2,,Home,Furniture,Tables and Desks,
Furniture,Bedroom Furniture,"Credenzas, Buffets + Sideboards",1,,Home,Furniture,-,
Furniture,Bedroom Furniture,Mirrors,1,,Home,Decor,Mirrors,
Lighting,-,-,1045,,Home,Decor,Lighting,
Lighting,Ceiling + Pendant Lamps,Flushmount + Semi-Flushmount Lighting,13,,Home,Decor,Lighting,
Lighting,Ceiling + Pendant Lamps,Lighting Cords + Shades,13,,Home,Decor,Lighting,
Lighting,Ceiling + Pendant Lamps,Multi-Light Pendants + Chandeliers,58,,Home,Decor,Lighting,
Lighting,Ceiling + Pendant Lamps,Pendant Lighting,359,,Home,Decor,Lighting,
Lighting,Ceiling Fans,Ceiling Fans,30,,Home,Decor,-,
Lighting,Floor Lamps,Adjustable Floor Lamps,29,,Home,Decor,Lighting,
Lighting,Floor Lamps,Arc Floor Lamps,6,,Home,Decor,Lighting,
Lighting,Floor Lamps,Column Floor Lamps,10,,Home,Decor,Lighting,
Lighting,Floor Lamps,Floor Lamps with Shades,29,,Home,Decor,Lighting,
Lighting,Floor Lamps,Globe Floor Lamps,20,,Home,Decor,Lighting,
Lighting,Floor Lamps,Multi-Light Floor Lamps,3,,Home,Decor,Lighting,
Lighting,Floor Lamps,Reading Floor Lamps,28,,Home,Decor,Lighting,
Lighting,Floor Lamps,Sculptural Floor Lamps,1,,Home,Decor,Lighting,
Lighting,Floor Lamps,Tripod Floor Lamps,13,,Home,Decor,Lighting,
Lighting,Portable Lamps,Decor,0,,Home,Decor,Lighting,
Lighting,Portable Lamps,Floor Lamps,0,,Home,Decor,Lighting,
Lighting,Portable Lamps,Outdoor,3,,Home,Decor,Lighting,
Lighting,Portable Lamps,Outdoor Lighting + Lanterns,0,,Home,Decor,Lighting,
Lighting,Portable Lamps,Table + Desk Lamps,0,,Home,Decor,Lighting,
Lighting,Sconces + Wall Lamps,Column Floor Lamps,5,,Home,Decor,Lighting,
Lighting,Sconces + Wall Lamps,Lanterns + Portable Lamps,2,,Home,Decor,Lighting,
Lighting,Sconces + Wall Lamps,Lighting Cords + Shades,8,,Home,Decor,Lighting,
Lighting,Sconces + Wall Lamps,Wall Lamps + Sconces,51,,Home,Decor,Lighting,
Lighting,Sconces + Wall Lamps,Wall Mounted Lighting,30,,Home,Decor,Lighting,
Lighting,Table + Desk Lamps,Bedside Lamps,0,,Home,Decor,Lighting,
Lighting,Table + Desk Lamps,Desk + Task Lamps,94,,Home,Decor,Lighting,
