productType,category,subCategory,pt aliases,cat aliases,sub-cat aliases,descriptions,,,
Crafts & School Supplies,Thread Crafts,Sewing and Quilting,,,,,,,
Crafts & School Supplies,Thread Crafts,Sewing Machines,,,,,,,
Crafts & School Supplies,Wood Crafts,-,,,,,,,
Crafts & School Supplies,Z_Other,-,,,,,,,
Electronics,-,,,,,,,,
Electronics,Accessories,-,,,,,,,
Electronics,Accessories,Cases,,,,,,,
Electronics,Accessories,External Drives,,,,,,,
Electronics,Accessories,Screen Protectors,,,,,,,
Electronics,Accessories,Touchpads,,,,,,,
Electronics,Accessories,Webcams,,,,,,,
Electronics,Audio Equipment & Accessories,-,,,,,,,
Electronics,Audio Equipment & Accessories,Audio Interfaces,,,,,,,
Electronics,Audio Equipment & Accessories,Headphones & Earbuds,,,,,,,
Electronics,Audio Equipment & Accessories,Live Sound Accessories,,,,,,,
Electronics,Audio Equipment & Accessories,Microphone Stands,,,,,,,
Electronics,Audio Equipment & Accessories,Microphones,,,,,,,
Electronics,Audio Equipment & Accessories,Speakers,,,,,,,
Electronics,Calculators,-,,,,,,,
Electronics,Cameras,-,,,,,,,
Electronics,Cell Phones,-,,,,,,,
Electronics,Chargers & Cables,-,,,,,,,
Electronics,Chargers & Cables,Cable Adapters & Couplers,,,,,,,
Electronics,Chargers & Cables,Cables,,,,,,,
Electronics,Chargers & Cables,Car Chargers,,,,,,,
Electronics,Chargers & Cables,Chargers,,,,,,,
Electronics,Chargers & Cables,Power Adapters,,,,,,,
Electronics,Chargers & Cables,Wireless Chargers,,,,,,,
Electronics,Clocks,-,,,,,,,
Electronics,Computers & Accessories,-,,,,,,,
Electronics,Computers & Accessories,Computer Keyboards,,,,,,,
Electronics,Computers & Accessories,Computer Mice,,,,,,,
Electronics,Computers & Accessories,Computer Monitors,,,,,,,
Electronics,Computers & Accessories,Desktop Computers,,,,,,,
Electronics,Computers & Accessories,Mouse Pads,,,,,,,
Electronics,Laptops,-,,,,,,,
Electronics,Movies,-,,,,,,,
Electronics,Music,-,,,,,,,
Electronics,Printers,-,,,,,,,
Electronics,Tablets,-,,,,,,,
Electronics,Walkie Talkies,-,,,,,,,
Electronics,Z_Other,-,,,,,,,
Home,-,-,,,,,,,
Home,Appliances,-,,,,,,,
Home,Appliances,Refrigerators,,,,,,,
Home,Bedding and Linen,-,,,,,,,
Home,Bedding and Linen,Bedding Sets,,,,,,,
Home,Bedding and Linen,Blankets and Comforters,,,,,,,
Home,Bedding and Linen,Mattress Pads,,,,,,,
Home,Bedding and Linen,Mattresses,,,,,,,
Home,Bedding and Linen,Pillows,,,,,,,
Home,Bedding and Linen,Sheets and Pillowcases,,,,,,,
Home,Bedding and Linen,Sleeping Bags,,,,,,,
Home,Decor,-,,,,,,,
Home,Decor,Art,,,,,,,
Home,Decor,Curtains and Blinds,,,,,,,
Home,Decor,Decorative Pillows and Throws,,,,,,,
