src_pt,src_cat,src_sc,count,status,ent_pt_2,ent_cat_2,ent_sc_2,notes,,,
Furniture,Classroom Furniture Collections,"Modern Farmhouse Collection | Pasting Pieces,Craft Project",0,,Home,Furniture,-,,Age/Grade,3 Years (Preschool),Alphabet Pieces
Furniture,Classroom Furniture Collections,Modern Farmhouse Collection | Posters,0,,Home,Furniture,-,,Age/Grade,3 Years (Preschool),Appliances
Furniture,Classroom Furniture Collections,Modern Farmhouse Collection | Poufs,0,,Home,Furniture,Storage,,Age/Grade,3 Years (Preschool),"Appliances,Sink,Stove"
Furniture,Classroom Furniture Collections,Modern Farmhouse Collection | Shelf Storage,0,,Home,Furniture,Storage,,Age/Grade,3 Years (Preschool),Baby Doll
Furniture,Classroom Furniture Collections,Modern Farmhouse Collection | Sofa,0,,Home,Furniture,Chairs and Sofas,,Age/Grade,3 Years (Preschool),Back Pack
Furniture,Classroom Furniture Collections,Modern Farmhouse Collection | Soft Seating,0,,Home,Furniture,-,,Age/Grade,3 Years (Preschool),Balance Beam
Furniture,Classroom Furniture Collections,Modern Farmhouse Collection | Stickers,0,,Crafts & School Supplies,Stickers,-,,Age/Grade,3 Years (Preschool),Balls
Furniture,Classroom Furniture Collections,"Modern Farmhouse Collection | Storage,Shelf Storage",0,,Home,Furniture,Storage,,Age/Grade,3 Years (Preschool),"Bar Table,Tables"
Furniture,Classroom Furniture Collections,Modern Farmhouse Collection | Storage,0,,Home,Furniture,Storage,,Age/Grade,3 Years (Preschool),Basket
Furniture,Classroom Furniture Collections,Modern Farmhouse Collection | n/a,0,,Home,Furniture,-,,Age/Grade,3 Years (Preschool),Beads
Furniture,Classroom Furniture Collections,Nature-Inspired Collection | Activity Table,0,,Toys,Learning Toys,-,,Age/Grade,3 Years (Preschool),Bean Bag Chair
Furniture,Classroom Furniture Collections,Nature-Inspired Collection | Alphabet Pieces,0,,Toys,Learning Toys,-,,Age/Grade,3 Years (Preschool),Bean Bags
Furniture,Classroom Furniture Collections,Nature-Inspired Collection | Banner,0,,Toys,Pretend Play,Toy Gardening Sets,,Age/Grade,3 Years (Preschool),Bench
Furniture,Classroom Furniture Collections,Nature-Inspired Collection | Basket,3,,Home,Organization,Baskets and Bins,,Age/Grade,3 Years (Preschool),"Blankets,Sheets"
Furniture,Classroom Furniture Collections,Nature-Inspired Collection | Bean Bag Chair,0,,Toys,Lawn Games,Bean Bags,,Age/Grade,3 Years (Preschool),Board Decor
Furniture,Classroom Furniture Collections,Nature-Inspired Collection | Bench,0,,Home,Furniture,-,,Age/Grade,3 Years (Preschool),Board Games
Furniture,Classroom Furniture Collections,Nature-Inspired Collection | Border,0,,Crafts & School Supplies,Z_Other,-,,Age/Grade,3 Years (Preschool),Book Bin
Furniture,Classroom Furniture Collections,Nature-Inspired Collection | Cabinet,0,,Home,Furniture,Storage,,Age/Grade,3 Years (Preschool),Book Display
Furniture,Classroom Furniture Collections,Nature-Inspired Collection | Chair,0,,Home,Furniture,Chairs and Sofas,,Age/Grade,3 Years (Preschool),Book Set
Furniture,Classroom Furniture Collections,Nature-Inspired Collection | Chalkboard,0,,Office Supplies,Memo Boards,Chalk Boards,,Age/Grade,3 Years (Preschool),Books
Furniture,Classroom Furniture Collections,"Nature-Inspired Collection | Climber,Play Space",0,,Toys,Playsets & Equipment,-,,Age/Grade,3 Years (Preschool),Bowling Set
Furniture,Classroom Furniture Collections,Nature-Inspired Collection | Climber,0,,Toys,Playsets & Equipment,Climbers,,Age/Grade,3 Years (Preschool),Branches
