src_pt,src_cat,src_sc,count,status,ent_pt_2,ent_cat_2,ent_sc_2,notes,Unnamed: 9,Unnamed: 10,Unnamed: 11,combined
furniture,classroom furniture collections,boho collection  poufs,0.0,,home,furniture,,,Age/Grade,12 Years (Grade 7),"3D Pieces,Table Top Blocks,Connecting Blocks,Connecting Pieces",furniture classroom furniture collections boho collection  poufs
furniture,classroom furniture collections,boho collection  stones,0.0,,home,furniture,,,Age/Grade,12 Years (Grade 7),Balls,furniture classroom furniture collections boho collection  stones
furniture,classroom furniture collections,boho collection  yarn,0.0,,home,furniture,,,Age/Grade,12 Years (Grade 7),Basket,furniture classroom furniture collections boho collection  yarn
furniture,classroom furniture collections,boho collection  na,0.0,,home,furniture,,,Age/Grade,12 Years (Grade 7),Bean Bags,furniture classroom furniture collections boho collection  na
furniture,classroom furniture collections,flexible classroom  activity table,0.0,,home,furniture,,,Age/Grade,12 Years (Grade 7),Board Games,furniture classroom furniture collections flexible classroom  activity table
furniture,classroom furniture collections,flexible classroom  bar tabletables,0.0,,home,furniture,,,Age/Grade,12 Years (Grade 7),Books,furniture classroom furniture collections flexible classroom  bar tabletables
furniture,classroom furniture collections,flexible classroom  book display,0.0,,home,furniture,,,Age/Grade,12 Years (Grade 7),bundle,furniture classroom furniture collections flexible classroom  book display
furniture,classroom furniture collections,flexible classroom  bookcase,0.0,,home,furniture,,,Age/Grade,12 Years (Grade 7),Caddy,furniture classroom furniture collections flexible classroom  bookcase
furniture,classroom furniture collections,flexible classroom  cabinet,0.0,,home,furniture,,,Age/Grade,12 Years (Grade 7),Chair,furniture classroom furniture collections flexible classroom  cabinet
furniture,classroom furniture collections,flexible classroom  computer desks,0.0,,home,furniture,tables and desks,,Age/Grade,12 Years (Grade 7),"Connecting Blocks,Connecting Pieces",furniture classroom furniture collections flexible classroom  computer desks
furniture,classroom furniture collections,flexible classroom  crib,0.0,,home,furniture,,,Age/Grade,12 Years (Grade 7),Connecting Pieces,furniture classroom furniture collections flexible classroom  crib
furniture,classroom furniture collections,flexible classroom  cubbies,0.0,,home,furniture,bookcases and cubbies,,Age/Grade,12 Years (Grade 7),Curriculum Resources,furniture classroom furniture collections flexible classroom  cubbies
